iShares Russell 1000 ETF,,,,,,,,,,,,,,
Fund Holdings as of,13-Apr-26,,,,,,,,,,,,,
Inception Date,15-May-00,,,,,,,,,,,,,
Shares Outstanding,"119,200,000.00",,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
WELL,WELLTOWER INC,Real Estate,Equity,"100,933,266.87",0.23,"100,933,266.87","487,671.00",206.97,United States,NYSE,USD,1,USD,-
QCOM,QUALCOMM INC,Information Technology,Equity,"99,478,082.64",0.22,"99,478,082.64","757,986.00",131.24,United States,NASDAQ,USD,1,USD,-
LOW,LOWES COMPANIES INC,Consumer Discretionary,Equity,"98,348,711.52",0.22,"98,348,711.52","398,044.00",247.08,United States,NYSE,USD,1,USD,-
GLW,CORNING INC,Information Technology,Equity,"96,875,841.63",0.22,"96,875,841.63","553,039.00",175.17,United States,NYSE,USD,1,USD,-
SNDK,SANDISK CORP,Information Technology,Equity,"96,504,442.50",0.22,"96,504,442.50","101,317.00",952.5,United States,NASDAQ,USD,1,USD,-
SPGI,S&P GLOBAL INC,Financials,Equity,"92,538,163.20",0.21,"92,538,163.20","215,165.00",430.08,United States,NYSE,USD,1,USD,-
PANW,PALO ALTO NETWORKS INC,Information Technology,Equity,"92,137,644.66",0.21,"92,137,644.66","566,966.00",162.51,United States,NASDAQ,USD,1,USD,-
LMT,LOCKHEED MARTIN CORP,Industrials,Equity,"90,705,264.68",0.2,"90,705,264.68","146,372.00",619.69,United States,NYSE,USD,1,USD,-
NEM,NEWMONT,Materials,Equity,"90,657,853.50",0.2,"90,657,853.50","778,179.00",116.5,United States,NYSE,USD,1,USD,-
PLD,PROLOGIS REIT INC,Real Estate,Equity,"90,275,833.05",0.2,"90,275,833.05","658,227.00",137.15,United States,NYSE,USD,1,USD,-
PH,PARKER-HANNIFIN CORP,Industrials,Equity,"88,836,412.20",0.2,"88,836,412.20","89,780.00",989.49,United States,NYSE,USD,1,USD,-
DHR,DANAHER CORP,Health Care,Equity,"87,539,983.23",0.2,"87,539,983.23","446,929.00",195.87,United States,NYSE,USD,1,USD,-
COF,CAPITAL ONE FINANCIAL CORP,Financials,Equity,"86,039,544.15",0.19,"86,039,544.15","435,533.00",197.55,United States,NYSE,USD,1,USD,-
CB,CHUBB,Financials,Equity,"85,603,411.60",0.19,"85,603,411.60","259,420.00",329.98,United States,NYSE,USD,1,USD,-
SYK,STRYKER CORP,Health Care,Equity,"84,740,449.60",0.19,"84,740,449.60","244,040.00",347.24,United States,NYSE,USD,1,USD,-
